players,clusters,playerperclusters,numliars,QPQversion,alpha,rounds,betafactor,QPQHL,QPQTH,QPQ2HL0,QPQ2TH0,QPQ2HL1,QPQ2TH1,UtilityHonest,UtilityDishonest,FNTotalHonest,FNTotalDishonest,FNTotalHonest_LL,FNTotalDishonest_LL,UtilityHonest_HL,UtilityDishonest_HL,FNTotalHonest_HL,FNTotalDishonest_HL
64,8,64,1,1,,2000,1.5,100,0.9,,,,,0.014706197305782808,0.0085712231078308,0.0813032581453634,0.9852631578947368,,,0.014706197305782808,0.0085712231078308,0.0813032581453634,0.9852631578947368
64,8,8,1,2,1.0,2000,1.5,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015022857633828237,0.010280952025032115,0.040994152046783625,1.0,0.040994152046783625,1.0,0.015022857633828237,0.010280952025032115,0.040994152046783625,1.0
64,8,64,1,1,,2000,1.5,100,0.9,,,,,0.014513682854102549,0.007995269462896954,0.11065998329156224,0.9868421052631579,,,0.014513682854102549,0.007995269462896954,0.11065998329156224,0.9868421052631579
64,8,8,1,2,1.0,2000,1.5,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014967567648746696,0.009171417542794255,0.07030910609857978,1.0,0.05672514619883041,1.0,0.014967567648746696,0.009171417542794255,0.07030910609857978,1.0
64,8,64,1,1,,2000,1.5,100,0.9,,,,,0.014568834409092412,0.005275289853374665,0.10592314118629909,0.9505263157894737,,,0.014568834409092412,0.005275289853374665,0.10592314118629909,0.9505263157894737
64,8,8,1,2,1.0,2000,1.5,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015040227171236861,0.008275564559595664,0.04883040935672515,1.0,0.04883040935672515,1.0,0.015040227171236861,0.008275564559595664,0.04883040935672515,1.0
64,8,64,1,1,,2000,1.5,100,0.9,,,,,0.014662317239590165,0.012372262167309602,0.09382623224728488,0.9342105263157895,,,0.014662317239590165,0.012372262167309602,0.09382623224728488,0.9342105263157895
64,8,8,1,2,1.0,2000,1.5,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.014896672669972627,0.012306709642852168,0.0581203007518797,1.0,0.04429406850459482,1.0,0.014896672669972627,0.012306709642852168,0.0581203007518797,1.0
64,8,64,1,1,,2000,1.5,100,0.9,,,,,0.014680111225733834,0.007057024854294764,0.08958228905597326,0.9778947368421053,,,0.014680111225733834,0.007057024854294764,0.08958228905597326,0.9778947368421053
64,8,8,1,2,1.0,2000,1.5,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015014775453426922,0.00678350435624097,0.04316624895572264,1.0,0.04308270676691729,1.0,0.015014775453426922,0.00678350435624097,0.04316624895572264,1.0
64,8,64,1,1,,2000,1.5,100,0.9,,,,,0.014650659288922223,0.007315988165999403,0.10121136173767753,0.9778947368421053,,,0.014650659288922223,0.007315988165999403,0.10121136173767753,0.9778947368421053
64,8,8,1,2,1.0,2000,1.5,100,0.9,400.0,0.9486832980505138,400.0,0.9486832980505138,0.015168815809493613,0.006586860876563878,0.04481203007518797,1.0,0.04427736006683375,1.0,0.015168815809493613,0.006586860876563878,0.04481203007518797,1.0
64,8,64,1,1,,2000,1.5,100,0.9,,,,,0.01459066938414485,0.009915287811379563,0.10430242272347535,0.921578947368421,,,0.01459066938414485,0.009915287811379563,0.10430242272347535,0.921578947368421
