players,clusters,playerperclusters,numliars,QPQversion,alpha,rounds,betafactor,QPQHL,QPQTH,QPQ2HL0,QPQ2TH0,QPQ2HL1,QPQ2TH1,UtilityHonest,UtilityDishonest,FNTotalHonest,FNTotalDishonest,UtilityHonest_HL,UtilityDishonest_HL,FNTotalHonest_HL,FNTotalDishonest_HL
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.00035475136389337766,0.00029231311064767504,0.013,0.003,0.0003611902607465814,0.0002893515317824584,0.013580246913580247,0.0033333333333333335
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.00027024262393135777,0.0002715301452062804,0.00015873015873015873,0.0,0.0002612617538014394,0.00026625934795868647,0.0,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.000400474888142985,0.00012022542503336542,0.014222222222222223,0.004,0.00041409358404896136,0.00013033969702644255,0.015167548500881834,0.0033333333333333335
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.00030017736249960964,0.00012022542503336542,0.003746031746031746,0.0,0.00030334863081682905,0.00013033969702644255,0.0039858906525573196,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.0003923124005969769,0.00014082314977993072,0.013,0.006,0.0003665950092775487,0.00013084903171536234,0.013527336860670194,0.006666666666666667
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0002801150119738155,0.0015929376877712317,0.0007619047619047619,0.0,0.0002798097529498975,0.0017443096294834748,0.0,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.0003691515875739073,0.00010588893069780947,0.013841269841269842,0.009,0.000381074600435831,0.00011765436744201052,0.013774250440917108,0.01
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0003177506509110694,0.0001845139132239112,0.017380952380952382,0.0,0.0003166310332829445,0.00016479802234865314,0.017530864197530863,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.00030744746556336783,0.00018482972759618544,0.01146031746031746,0.004,0.0003133889502846934,0.0002053663639957616,0.011728395061728396,0.0044444444444444444
64,8,8,1,2,1.0,1000,1.1,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.00027374323529944406,0.00018482972759618544,0.0011587301587301588,0.0,0.00025396075167919183,0.0002053663639957616,0.0007231040564373897,0.0
64,8,64,1,1,,1000,1.1,100,0.97,,,,,0.0003250011709298789,0.000779054611970065,0.009412698412698412,0.011,0.0003205737025997143,0.0008619337589516892,0.009947089947089947,0.012222222222222223
