players,clusters,playerperclusters,numliars,QPQversion,alpha,rounds,betafactor,QPQHL,QPQTH,QPQ2HL0,QPQ2TH0,QPQ2HL1,QPQ2TH1,UtilityHonest,UtilityDishonest,FNTotalHonest,FNTotalDishonest,UtilityHonest_HL,UtilityDishonest_HL,FNTotalHonest_HL,FNTotalDishonest_HL
256,8,256,1,1,,1000,1.2,100,0.97,,,,,4.279480884910008e-05,3.438036935604738e-06,0.011376470588235293,0.021,4.4207267538349546e-05,6.238339268371807e-06,0.011973856209150327,0.0022222222222222222
256,8,32,1,2,1.0,1000,1.2,100,0.97,640.0,0.9839146507980671,640.0,0.9839146507980671,1.9640565915409073e-05,3.438036935604738e-06,9.019607843137255e-05,0.0,1.983249840063228e-05,6.238339268371807e-06,5.664488017429194e-05,0.0
256,8,256,1,1,,1000,1.2,100,0.97,,,,,3.060619489263855e-05,0.0,0.012086274509803922,0.086,2.8632025928719234e-05,2.2976731184184048e-06,0.012623093681917212,0.027777777777777776
256,8,32,1,2,1.0,1000,1.2,100,0.97,640.0,0.9839146507980671,640.0,0.9839146507980671,2.2785711498024153e-05,0.0008887740386607826,0.000988235294117647,0.0,2.743992287890585e-05,2.2976731184184048e-06,0.0008845315904139434,0.0
256,8,256,1,1,,1000,1.2,100,0.97,,,,,4.0519908753019656e-05,6.658854263782432e-07,0.013098039215686275,0.069,4.3413324850421464e-05,6.8500853666264574e-06,0.014034858387799564,0.0033333333333333335
256,8,32,1,2,1.0,1000,1.2,100,0.97,640.0,0.9839146507980671,640.0,0.9839146507980671,1.941821582723258e-05,6.658854263782432e-07,0.0001647058823529412,0.0,1.9485423072552273e-05,6.8500853666264574e-06,9.150326797385621e-05,0.0
256,8,256,1,1,,1000,1.2,100,0.97,,,,,3.3277366359245424e-05,1.0727557367526176e-05,0.011572549019607843,0.036,3.494039034758834e-05,5.1081838583292664e-06,0.01207843137254902,0.0022222222222222222
256,8,32,1,2,1.0,1000,1.2,100,0.97,640.0,0.9839146507980671,640.0,0.9839146507980671,2.2312376290826537e-05,4.803814276534313e-06,0.0020980392156862747,0.0,2.2721700441194247e-05,1.0515083271605614e-05,0.002226579520697168,0.0
256,8,256,1,1,,1000,1.2,100,0.97,,,,,4.616572110985361e-05,0.0,0.013686274509803921,0.115,4.8454033990442406e-05,6.15396465848603e-06,0.014601307189542483,0.0011111111111111111
256,8,32,1,2,1.0,1000,1.2,100,0.97,640.0,0.9839146507980671,640.0,0.9839146507980671,1.9427861426654305e-05,0.0,0.001584313725490196,0.0,1.7089054666060766e-05,6.15396465848603e-06,0.001738562091503268,0.0
256,8,256,1,1,,1000,1.2,100,0.97,,,,,3.900699992386094e-05,2.8204981340637093e-06,0.00995686274509804,0.041,4.088164966839445e-05,2.0387761693093642e-05,0.010017429193899783,0.0033333333333333335
256,8,32,1,2,1.0,1000,1.2,100,0.97,640.0,0.9839146507980671,640.0,0.9839146507980671,2.2279408876210126e-05,0.00043819838643729947,0.00025098039215686274,0.0,2.3677009774077866e-05,2.172961877321238e-05,0.00015250544662309367,0.0
256,8,256,1,1,,1000,1.2,100,0.97,,,,,4.9002146705944454e-05,9.112575730156336e-06,0.012470588235294117,0.045,5.254350567656638e-05,1.2020736840072654e-05,0.013337690631808279,0.005555555555555556
256,8,32,1,2,1.0,1000,1.2,100,0.97,640.0,0.9839146507980671,640.0,0.9839146507980671,1.5204703944278511e-05,0.0004787380812890499,1.9607843137254903e-05,0.0,1.705866148788486e-05,1.2020736840072654e-05,0.0,0.0
256,8,256,1,1,,1000,1.2,100,0.97,,,,,2.6005929263671176e-05,5.712391053845911e-07,0.010654901960784315,0.03,2.735762200023112e-05,1.6641341833737073e-05,0.011006535947712419,0.01888888888888889
256,8,32,1,2,1.0,1000,1.2,100,0.97,640.0,0.9839146507980671,640.0,0.9839146507980671,2.3901535063368948e-05,0.0,5.882352941176471e-05,0.0,2.505996184846099e-05,1.6641341833737073e-05,5.664488017429194e-05,0.0
