players,clusters,playerperclusters,numliars,QPQversion,alpha,rounds,betafactor,QPQHL,QPQTH,QPQ2HL0,QPQ2TH0,QPQ2HL1,QPQ2TH1,UtilityHonest,UtilityDishonest,FNTotalHonest,FNTotalDishonest,UtilityHonest_HL,UtilityDishonest_HL,FNTotalHonest_HL,FNTotalDishonest_HL
256,4,256,0,1,,1000,1.2,100,0.97,,,,,3.16493190560099e-05,,0.01241015625,,3.341132662691043e-05,,0.012699652777777778,
256,4,64,0,2,1.0,1000,1.2,100,0.97,376.0,0.9845876653923058,376.0,0.9845876653923058,3.145309016809676e-05,,0.0,,2.9373897513928877e-05,,0.0,
256,4,256,0,1,,1000,1.2,100,0.97,,,,,3.0310157270882165e-05,,0.0108046875,,3.2011314997132784e-05,,0.011267361111111112,
256,4,64,0,2,1.0,1000,1.2,100,0.97,376.0,0.9845876653923058,376.0,0.9845876653923058,1.894050917523005e-05,,7.8125e-06,,1.9416159616072385e-05,,0.0,
256,4,256,0,1,,1000,1.2,100,0.97,,,,,3.599775156252491e-05,,0.0105703125,,3.811975984833639e-05,,0.010855034722222223,
256,4,64,0,2,1.0,1000,1.2,100,0.97,376.0,0.9845876653923058,376.0,0.9845876653923058,2.197966144506778e-05,,7.8125e-05,,2.252199108688267e-05,,0.0,
256,4,256,0,1,,1000,1.2,100,0.97,,,,,3.748435353846591e-05,,0.013625,,3.976020029788036e-05,,0.0142578125,
256,4,64,0,2,1.0,1000,1.2,100,0.97,376.0,0.9845876653923058,376.0,0.9845876653923058,2.1656686210233185e-05,,0.00027734375,,2.1939099132742757e-05,,0.00014322916666666667,
256,4,256,0,1,,1000,1.2,100,0.97,,,,,4.370646505604095e-05,,0.0126875,,4.313059613814159e-05,,0.012925347222222222,
256,4,64,0,2,1.0,1000,1.2,100,0.97,376.0,0.9845876653923058,376.0,0.9845876653923058,2.5501420627802075e-05,,4.296875e-05,,2.6316151893633332e-05,,0.0,
256,4,256,0,1,,1000,1.2,100,0.97,,,,,4.2406883275767984e-05,,0.0117109375,,4.029403327066867e-05,,0.01189236111111111,
256,4,64,0,2,1.0,1000,1.2,100,0.97,376.0,0.9845876653923058,376.0,0.9845876653923058,2.6179467042303748e-05,,0.0,,2.5525592720024968e-05,,0.0,
256,4,256,0,1,,1000,1.2,100,0.97,,,,,4.783741108778661e-05,,0.0107734375,,5.144911687501007e-05,,0.010828993055555555,
256,4,64,0,2,1.0,1000,1.2,100,0.97,376.0,0.9845876653923058,376.0,0.9845876653923058,2.536342940406088e-05,,0.0,,2.6547700626761365e-05,,0.0,
256,4,256,0,1,,1000,1.2,100,0.97,,,,,3.796037189244116e-05,,0.0116796875,,4.0567471545449585e-05,,0.011831597222222223,
256,4,64,0,2,1.0,1000,1.2,100,0.97,376.0,0.9845876653923058,376.0,0.9845876653923058,2.786304778111129e-05,,0.0,,2.937995213857592e-05,,0.0,
256,4,256,0,1,,1000,1.2,100,0.97,,,,,3.529966991299908e-05,,0.01112109375,,3.378255409299187e-05,,0.011497395833333333,
256,4,64,0,2,1.0,1000,1.2,100,0.97,376.0,0.9845876653923058,376.0,0.9845876653923058,2.2160334653245126e-05,,7.8125e-06,,1.914958366018502e-05,,0.0,
256,4,256,0,1,,1000,1.2,100,0.97,,,,,2.5869782501375635e-05,,0.01157421875,,2.7143249060453604e-05,,0.012065972222222223,
256,4,64,0,2,1.0,1000,1.2,100,0.97,376.0,0.9845876653923058,376.0,0.9845876653923058,2.4778887279562823e-05,,1.5625e-05,,2.59642232590265e-05,,8.680555555555556e-06,
256,4,256,0,1,,1000,1.2,100,0.97,,,,,3.515779178887185e-05,,0.01225,,3.463012021309976e-05,,0.012699652777777778,
256,4,64,0,2,1.0,1000,1.2,100,0.97,376.0,0.9845876653923058,376.0,0.9845876653923058,2.1072210255551648e-05,,0.0,,2.184252249713821e-05,,0.0,
256,4,256,0,1,,1000,1.2,100,0.97,,,,,3.6379226033062376e-05,,0.01296875,,3.8825164476821284e-05,,0.013203125,
256,4,64,0,2,1.0,1000,1.2,100,0.97,376.0,0.9845876653923058,376.0,0.9845876653923058,2.0422550781182268e-05,,0.00052734375,,2.090021634586498e-05,,0.0004253472222222222,
256,4,256,0,1,,1000,1.2,100,0.97,,,,,3.912817692602621e-05,,0.01126171875,,4.1627073623048894e-05,,0.011636284722222221,
256,4,64,0,2,1.0,1000,1.2,100,0.97,376.0,0.9845876653923058,376.0,0.9845876653923058,2.796385819647411e-05,,7.8125e-06,,2.9222275034657662e-05,,0.0,
