players,clusters,playerperclusters,numliars,QPQversion,alpha,rounds,betafactor,QPQHL,QPQTH,QPQ2HL0,QPQ2TH0,QPQ2HL1,QPQ2TH1,UtilityHonest,UtilityDishonest,FNTotalHonest,FNTotalDishonest,FNTotalHonest_LL,FNTotalDishonest_LL,UtilityHonest_HL,UtilityDishonest_HL,FNTotalHonest_HL,FNTotalDishonest_HL
256,64,256,1,1,,2000,1.2,100,0.97,,,,,0.00384150202341166,0.0020978256050747783,0.02975438596491228,0.15894736842105264,,,0.00384150202341166,0.0020978256050747783,0.02975438596491228,0.15894736842105264
256,64,4,1,2,1.0,2000,1.2,100,0.97,376.0,0.9848857801796105,376.0,0.9848857801796105,0.003868824751323927,0.0027233060268257586,0.012722394220846233,0.5721052631578948,0.01251186790505676,0.5721052631578948,0.003868824751323927,0.0027233060268257586,0.012722394220846233,0.5721052631578948
256,64,256,1,1,,2000,1.2,100,0.97,,,,,0.0038342651839443588,0.00397999214661679,0.030097007223942207,0.24157894736842106,,,0.0038342651839443588,0.00397999214661679,0.030097007223942207,0.24157894736842106
256,64,4,1,2,1.0,2000,1.2,100,0.97,376.0,0.9848857801796105,376.0,0.9848857801796105,0.003871089218440084,0.002687985162292757,0.014831785345717234,0.5494736842105263,0.012794633642930856,0.5494736842105263,0.003871089218440084,0.002687985162292757,0.014831785345717234,0.5494736842105263
256,64,256,1,1,,2000,1.2,100,0.97,,,,,0.003838446095839776,0.0026143350569881366,0.02880082559339525,0.12105263157894737,,,0.003838446095839776,0.0026143350569881366,0.02880082559339525,0.12105263157894737
256,64,4,1,2,1.0,2000,1.2,100,0.97,376.0,0.9848857801796105,376.0,0.9848857801796105,0.003859312256061291,0.0027058656094092796,0.015723426212590298,0.46210526315789474,0.015708978328173376,0.46210526315789474,0.003859312256061291,0.0027058656094092796,0.015723426212590298,0.46210526315789474
256,64,256,1,1,,2000,1.2,100,0.97,,,,,0.003825650195120715,0.002549244853277555,0.03175438596491228,0.27473684210526317,,,0.003825650195120715,0.002549244853277555,0.03175438596491228,0.27473684210526317
256,64,4,1,2,1.0,2000,1.2,100,0.97,376.0,0.9848857801796105,376.0,0.9848857801796105,0.0038476888292246795,0.002871366389419416,0.02194014447884417,0.5763157894736842,0.018026831785345716,0.5763157894736842,0.0038476888292246795,0.002871366389419416,0.02194014447884417,0.5763157894736842
256,64,256,1,1,,2000,1.2,100,0.97,,,,,0.0038286741369282376,0.0031860887997350504,0.030549019607843137,0.15263157894736842,,,0.0038286741369282376,0.0031860887997350504,0.030549019607843137,0.15263157894736842
256,64,4,1,2,1.0,2000,1.2,100,0.97,376.0,0.9848857801796105,376.0,0.9848857801796105,0.0038779279956018035,0.0011261709361576335,0.016813209494324046,0.5584210526315789,0.01623735810113519,0.5584210526315789,0.0038779279956018035,0.0011261709361576335,0.016813209494324046,0.5584210526315789
256,64,256,1,1,,2000,1.2,100,0.97,,,,,0.003825396497898093,0.0056834429683459056,0.03105263157894737,0.17789473684210527,,,0.003825396497898093,0.0056834429683459056,0.03105263157894737,0.17789473684210527
256,64,4,1,2,1.0,2000,1.2,100,0.97,376.0,0.9848857801796105,376.0,0.9848857801796105,0.003864542615186645,0.003760129872851737,0.020592363261093913,0.34,0.013159958720330238,0.34,0.003864542615186645,0.003760129872851737,0.020592363261093913,0.34
256,64,256,1,1,,2000,1.2,100,0.97,,,,,0.0038427513593549617,0.0031395390594942175,0.029936016511867905,0.05894736842105263,,,0.0038427513593549617,0.0031395390594942175,0.029936016511867905,0.05894736842105263
256,64,4,1,2,1.0,2000,1.2,100,0.97,376.0,0.9848857801796105,376.0,0.9848857801796105,0.003854895053918239,0.0041849269611359,0.0164953560371517,0.2836842105263158,0.016468524251805984,0.2836842105263158,0.003854895053918239,0.0041849269611359,0.0164953560371517,0.2836842105263158
256,64,256,1,1,,2000,1.2,100,0.97,,,,,0.0038184739168151674,0.00576695839467358,0.030293085655314758,0.2521052631578947,,,0.0038184739168151674,0.00576695839467358,0.030293085655314758,0.2521052631578947
256,64,4,1,2,1.0,2000,1.2,100,0.97,376.0,0.9848857801796105,376.0,0.9848857801796105,0.003845355709247482,0.006393805427213257,0.02258823529411765,0.6526315789473685,0.015857585139318887,0.6526315789473685,0.003845355709247482,0.006393805427213257,0.02258823529411765,0.6526315789473685
256,64,256,1,1,,2000,1.2,100,0.97,,,,,0.003833712800071774,0.0026206288040600445,0.028398348813209493,0.2573684210526316,,,0.003833712800071774,0.0026206288040600445,0.028398348813209493,0.2573684210526316
256,64,4,1,2,1.0,2000,1.2,100,0.97,376.0,0.9848857801796105,376.0,0.9848857801796105,0.0038585669808907205,0.002711341481919401,0.019432404540763674,0.7684210526315789,0.015413828689370485,0.7684210526315789,0.0038585669808907205,0.002711341481919401,0.019432404540763674,0.7684210526315789
256,64,256,1,1,,2000,1.2,100,0.97,,,,,0.003856336787526161,0.0013542196622414904,0.031966976264189886,0.26631578947368423,,,0.003856336787526161,0.0013542196622414904,0.031966976264189886,0.26631578947368423
256,64,4,1,2,1.0,2000,1.2,100,0.97,376.0,0.9848857801796105,376.0,0.9848857801796105,0.0038582265105585136,0.0022249920030165526,0.019808049535603715,0.9,0.015137254901960785,0.9,0.0038582265105585136,0.0022249920030165526,0.019808049535603715,0.9
256,64,256,1,1,,2000,1.2,100,0.97,,,,,0.003806473348954031,0.004087478383533544,0.03182043343653251,0.3042105263157895,,,0.003806473348954031,0.004087478383533544,0.03182043343653251,0.3042105263157895
256,64,4,1,2,1.0,2000,1.2,100,0.97,376.0,0.9848857801796105,376.0,0.9848857801796105,0.003856765136454644,0.0040615090679900845,0.021155830753353973,0.638421052631579,0.017275541795665636,0.638421052631579,0.003856765136454644,0.0040615090679900845,0.021155830753353973,0.638421052631579
256,64,256,1,1,,2000,1.2,100,0.97,,,,,0.0038493307264401183,0.0015678224461044155,0.02900515995872033,0.11894736842105263,,,0.0038493307264401183,0.0015678224461044155,0.02900515995872033,0.11894736842105263
