players,clusters,playerperclusters,numliars,QPQversion,alpha,rounds,betafactor,QPQHL,QPQTH,QPQ2HL0,QPQ2TH0,QPQ2HL1,QPQ2TH1,UtilityHonest,UtilityDishonest,FNTotalHonest,FNTotalDishonest,UtilityHonest_HL,UtilityDishonest_HL,FNTotalHonest_HL,FNTotalDishonest_HL
64,8,64,6,1,,1000,1.2,100,0.97,,,,,0.0003302814547151898,0.0007818752115041822,0.013275862068965517,0.06866666666666667,0.0003588961531973479,0.0006484452540910285,0.01885057471264368,0.02925925925925926
64,8,8,6,2,1.0,1000,1.2,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0003362191527106792,0.000745849044503176,0.010482758620689656,0.028833333333333332,0.0003528910848656626,0.0007302404482847904,0.014961685823754789,0.0
64,8,64,6,1,,1000,1.2,100,0.97,,,,,0.00035952189171747543,0.0011239918068425127,0.009431034482758621,0.05633333333333333,0.000482693146099876,0.0002075838929525635,0.015363984674329503,0.007962962962962963
64,8,8,6,2,1.0,1000,1.2,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0002844365784770018,0.0009254917346377234,0.006206896551724138,0.006,0.00037198131154770134,0.00024894972942308204,0.007452107279693487,0.0
64,8,64,6,1,,1000,1.2,100,0.97,,,,,0.0004197845940041246,0.0007150945245556683,0.014206896551724139,0.0435,0.0004561531447964568,0.0005594377043082376,0.017547892720306515,0.021666666666666667
64,8,8,6,2,1.0,1000,1.2,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.00030659423139746026,0.0014398161647982146,8.620689655172413e-05,0.0,0.00039648150171026455,0.0007241430817624188,1.9157088122605363e-05,0.00037037037037037035
64,8,64,6,1,,1000,1.2,100,0.97,,,,,0.00032826208713586835,0.0006810823135400715,0.0105,0.049,0.0003668144525092016,0.00017162273834519056,0.014616858237547893,0.021666666666666667
64,8,8,6,2,1.0,1000,1.2,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.0003608501436289733,0.0014817764064034783,0.010551724137931035,0.026,0.0004174191307978113,0.0010215843733527503,0.013850574712643678,0.006666666666666667
64,8,64,6,1,,1000,1.2,100,0.97,,,,,0.00031031883849931546,0.0009832646016346791,0.009655172413793104,0.07583333333333334,0.0003772265026262151,0.0002329452425168297,0.01695402298850575,0.015
64,8,8,6,2,1.0,1000,1.2,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.00028863352758095933,0.0018822230920820728,0.00015517241379310346,0.0003333333333333333,0.0004498431695529872,0.0005275988907134105,3.8314176245210727e-05,0.0
64,8,64,6,1,,1000,1.2,100,0.97,,,,,0.00029772517531847603,0.0007833161154435032,0.012913793103448276,0.052,0.00030516882478343375,0.0006217998754358587,0.015383141762452108,0.027592592592592592
64,8,8,6,2,1.0,1000,1.2,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.00038152828444355867,0.0015128353128875728,5.172413793103448e-05,0.00016666666666666666,0.000496534722604665,0.0006233771113298347,0.0,0.0
64,8,64,6,1,,1000,1.2,100,0.97,,,,,0.00030546687753310364,0.0004640106898292474,0.01053448275862069,0.033666666666666664,0.0003306484522863179,0.0002526464582828103,0.014195402298850576,0.008148148148148147
64,8,8,6,2,1.0,1000,1.2,100,0.97,400.0,0.981636715130498,400.0,0.981636715130498,0.00033577401283924855,0.0004429046228404968,6.896551724137931e-05,0.0,0.00035485165478972835,0.0003630916960513948,0.0,0.0
64,8,64,6,1,,1000,1.2,100,0.97,,,,,0.00031460915448334174,6.059091491171031e-05,0.011793103448275862,0.024666666666666667,0.00030088401947076947,0.00023029249357393473,0.012911877394636015,0.010925925925925926
